Included in dataset,Reason for non-inclusion,Myrmecomorphy?,Imperfect mimicry?,Mimic taxon,Mimic order,Mimic class,Model taxon,Model order,Model class,Common rank,Operator,Title,Authors,Corporate Authors,Editors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Average per Year
no,Review,,,,,,,,,,,Antipredator deception in terrestrial vertebrates,"Caro, Tim",,,,CURRENT ZOOLOGY,2014,2014,60,1,,,,16,25,,,,,9,2.25
yes,,,yes,Blaptica dubia (artificially manipulated),Blattodea,Insecta,Pyrrhocoris apterus,Hemiptera,Insecta,Class (Insecta),Predator/Great tit,Newly emerged Batesian mimicry protects only unfamiliar prey,"Vesely, Petr; Fuchs, Roman",,,,EVOLUTIONARY ECOLOGY,Nov-09,2009,23,6,,,,919,929,,10.1007/s10682-008-9281-1,,,7,0.78
yes,,,,Natrix maura,Squamata,Reptilia,Vipera aspis,Squamata,Reptilia,Order (Squamata),"Predator/bird of prey, mammal",The snake hiss: potential acoustic mimicry in a viper-colubrid complex,"Aubret, Fabien; Mangin, Alain",,,,BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,Dec-14,2014,113,4,,,,1107,1114,,10.1111/bij.12374,,,2,0.5
no,Theoretical,,,,,,,,,,,Costs of Learning and the Evolution of Mimetic Signals,"Kikuchi, David W.; Sherratt, Thomas N.",,,,AMERICAN NATURALIST,Sep-15,2015,186,3,,,,321,332,,10.1086/682371,,,6,2
no,Theoretical,,,,,,,,,,,The evolution of imperfect mimicry,"Sherratt, TN",,,,BEHAVIORAL ECOLOGY,NOV-DEC 2002,2002,13,6,,,,821,826,,10.1093/beheco/13.6.821,,,100,6.25
yes,,,,,Lepidoptera,Insecta,,Lepidoptera,Insecta,Order (Lepidoptera),Predator,Rating palatability of butterflies by measuring ant feeding behavior,"Molleman, Freerk; Whitaker, Melissa R.; Carey, James R.",,,,Entomologische Berichten (Amsterdam),Apr-10,2010,70,2,,,,52,62,,,,,1,0.12
no,Not about mimicry,,,,,,,,,,,"Defensive function of petiole spines in queens and workers of the formicine ant Polyrhachis lamellidens (Hymenoptera: Formicidae) against an ant predator, the Japanese tree frog Hyla japonica","Ito, Fuminori; Taniguchi, Kentaro; Billen, Johan",,,,ASIAN MYRMECOLOGY,2016,2016,8,,,,,81,86,,10.20362/am.008014,,,0,0
yes,,,,Traunsteinera globosa,Asparagales,Angiosperms,"Knautia, Scabiosa, Valeriana ",Dipsacales,Angiosperms,Subsubkingdom (Angiosperms),Pollinator,Does Traunsteinera globosa (the globe orchid) dupe its pollinators through generalized food deception or mimicry?,"Jersakova, Jana; Spaethe, Johannes; Streinzer, Martin; Neumayer, Johann; Paulus, Hannes; Doetter, Stefan; Johnson, Steven D.",,,,BOTANICAL JOURNAL OF THE LINNEAN SOCIETY,Feb-16,2016,180,2,,,,269,294,,10.1111/boj.12364,,,2,1
no,Theoretical,,,,,,,,,,,The evolution of a Mullerian mimic in a spatially distributed community,"Joron, M; Iwasa, Y",,,,JOURNAL OF THEORETICAL BIOLOGY,NOV 7 2005,2005,237,1,,,,87,103,,10.1016/j.jtbi.2005.04.005,,,25,1.92
no,Not about mimicry,,,,,,,,,,,"The Function of Multiple Mating by Female Promethea Moths, Callosamia promethea (Drury) (Lepidoptera: Saturniidae)","Morton, Eugene S.",,,,AMERICAN MIDLAND NATURALIST,Jul-09,2009,162,1,,,,7,18,,10.1674/0003-0031-162.1.7,,,5,0.56
yes,,,,Allobates spp.,Anura,Amphibia,Epipedobates spp.,Anura,Amphibia,Order (Anura),Predator/bird,A mechanism for diversity in warning signals: Conspicuousness versus toxicity in poison frogs,"Darst, CR; Cummings, ME; Cannatella, DC",,,,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,APR 11 2006,2006,103,15,,,,5852,5857,,10.1073/pnas.0600625103,,,86,7.17
no,Not about mimicry,,,,,,,,,,,"Calls, colours, shape, and genes: a multi-trait approach to the study of geographic variation in the Amazonian frog Allobates femoralis","Amezquita, Adolfo; Lima, Albertina P.; Jehle, Robert; Castellanos, Lina; Ramos, Oscar; Crawford, Andrew J.; Gasser, Herbert; Hoedl, Walter",,,,BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,Dec-09,2009,98,4,,,,826,838,,,,,44,4.89
no,Not about mimicry,,,,,,,,,,,Sex Chromosome Mosaicism and Hybrid Speciation among Tiger Swallowtail Butterflies,"Kunte, Krushnamegh; Shea, Cristina; Aardema, Matthew L.; Scriber, J. Mark; Juenger, Thomas E.; Gilbert, Lawrence E.; Kronforst, Marcus R.",,,,PLOS GENETICS,Sep-11,2011,7,9,,,,,,e1002274,10.1371/journal.pgen.1002274,,,32,4.57
no,Commentary,,,,,,,,,,,The coming and going of Batesian mimicry in a Holarctic butterfly clade,"Fiedler, Konrad",,,,BMC BIOLOGY,SEP 15 2010,2010,8,,,,,,,122,10.1186/1741-7007-8-122,,,3,0.38
no,Theoretical,,,,,,,,,,,Competitive mimicry: Synthesis of a neglected class of mimetic relationships,"Rainey, Meredith M.; Grether, Gregory F.",,,,ECOLOGY,Oct-07,2007,88,10,,,,2440,2448,,10.1890/06-1717.1,,,19,1.73
yes,,,,"Papilionidae, Pieridae ",Lepidoptera,Insecta,Danainae,Lepidoptera,Insecta,Order (Lepidoptera),Predator/bird,PREFERENTIAL PREDATION OF FEMALE BUTTERFLIES AND THE EVOLUTION OF BATESIAN MIMICRY,"OHSAKI, N",,,,NATURE,NOV 9 1995,1995,378,6553,,,,173,175,,10.1038/378173a0,,,43,1.87
yes,,,,Podocerus cristatus,Amphipoda,Malacostraca,Flabellina trilineata,Aeolidida,Gastropoda,Kingdom (Animalia),Predator,Latitudinal variation in mimicry between aeolid nudibranchs and an amphipod crustacean in the northeast Pacific Ocean,"Goddard, Jeffrey H. R.",,,,MARINE BIODIVERSITY,Sep-16,2016,46,3,,,,535,537,,10.1007/s12526-015-0402-0,,,0,0
no,Theoretical,,,,,,,,,,,Optimal-Foraging Predator Favors Commensalistic Batesian Mimicry,"Honma, Atsushi; Takakura, Koh-ichi; Nishida, Takayoshi",,,,PLOS ONE,OCT 15 2008,2008,3,10,,,,,,e3411,10.1371/journal.pone.0003411,,,3,0.3
yes,,,,"Pieridae, Nymphalidae, Lycaenidae, Pyralidae, Geometridae, Notodontidae, Arctiidae, Pericopinae, Polythoridae, ","Lepidoptera, Odonata",Insecta,Ithomiinae,Lepidoptera,Insecta,Class (Insecta),Predator/bird,"Ecology, natural history and behaviour of ithomiine butterflies and their mimics in Ecuador (Lepidoptera: Nymphalidae: Ithomiinae)","Beccaloni, George W.",,,,Tropical Lepidoptera,"Nov., 1997",1997,8,2,,,,103,124,,,,,47,2.24
yes,,,,Eulophia zeyheriana,Asparagales,Angiosperms,Wahlenbergia cuspidata,Asterales,Angiosperms,Subsubkingdom (Angiosperms),Pollinator/bee,Mimics and magnets: The importance of color and ecological facilitation in floral deception,"Peter, Craig I.; Johnson, Steven D.",,,,ECOLOGY,Jun-08,2008,89,6,,,,1583,1595,,10.1890/07-1098.1,,,63,6.3
no,Not about mimicry,,,,,,,,,,,"Descriptive morphological elements of the exoskeleton and endoskeleton of Afrotropical Cryptobiina (Coleoptera, Staphylinidae, Paederinae)","Drugmand, Didier; Wauthy, Georges",,,,Bulletin de l'Institut Royal des Sciences Naturelles de Belgique Entomologie,1992,1992,62,0,,,,5,31,,,,,1,0.04
yes,,,,Tenebrio molitor,Coleoptera,Insecta,Tenebrio molitor,Coleoptera,Insecta,Species (Tenebrio molitor),Predator/Great tit,Parameterising a public good: how experiments on predation can be used to predict cheat frequencies,"Jones, Rebecca S.; Speed, Michael P.; Mappes, Johanna",,,,EVOLUTIONARY ECOLOGY,Oct-16,2016,30,5,,,,825,840,,10.1007/s10682-016-9851-6,,,0,0
no,review,,,,,,,,,,,APOSEMATISM AND BATESIAN MIMICRY - MEASURING MIMETIC ADVANTAGE IN NATURAL HABITATS,"WALDBAUER, GP",,,,EVOLUTIONARY BIOLOGY,1988,1988,22,,,,,227,259,,,,,14,0.47
