"catalogNumber","type","order","scientificName","scientificNameAuthorship","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","elevation","locationRemarks","time","day","month","year","bodylength","source","dorsalAccuracyMorphometric","lateralAccuracyMorphometric","dorsalAccuracyMachineLearning","lateralAccuracyMachineLearning"
446,"mimetic insect","Hemiptera","Alydid2 sp1","",-15.7743111111111,144.381713888889,500,385.2657343,"Qld, Quinkan Bush Blitz site B7","13:09",8,3,2017,11.4,"Collected",-1.00858130942745,0.0347579490944174,0,0.675778418779373
444,"mimetic insect","Hemiptera","Alydid3 sp1","",-15.7743111111111,144.381713888889,500,385.2657343,"Qld, Quinkan Bush Blitz site B7","13:09",8,3,2017,13.6,"Collected",-0.149778238478961,0.60045083294207,0.813424348831177,0.83975937962532
398,"mimetic spider","Araneae","Amyciaea albomaculata","(O.P.-Cambridge, 1874)",,,,,"Purchased spiders","00:00",18,1,2017,5.3,"Collected",0.015779871582825,-0.459291243755054,0,0.515133202075958
399,"mimetic spider","Araneae","Amyciaea albomaculata","(O.P.-Cambridge, 1874)",,,,,"Purchased spiders","00:00",18,1,2017,4.8,"Collected",-0.163280323937288,0.642131612209041,0.520604610443115,0.63687789440155
499,"mimetic spider","Araneae","Amyciaea albomaculata","(O.P.-Cambridge, 1874)",-15.7778694444444,144.372038888889,10,296.421875,"Qld, rainforest gully near Quinkan Bush Blitz site B1","13:23",14,3,2017,4.5,"Collected",0.628998398741077,0.516770202430442,0.693101674318314,0.855465412139893
502,"mimetic spider","Araneae","Amyciaea albomaculata","(O.P.-Cambridge, 1874)",-15.7778694444444,144.372038888889,10,296.421875,"Qld, rainforest gully near Quinkan Bush Blitz site B1","13:23",14,3,2017,4.4,"Collected",-0.365890939740794,,0.540890216827393,
503,"mimetic spider","Araneae","Amyciaea albomaculata","(O.P.-Cambridge, 1874)",-15.7778694444444,144.372038888889,10,296.421875,"Qld, rainforest gully near Quinkan Bush Blitz site B1","13:23",14,3,2017,5.3,"Collected",-0.282760963808813,-0.00194020876662626,0.330503612756729,0.433013051748276
554,"mimetic spider","Araneae","Amyciaea sp1","",-13.15,130.766666666667,1000,,"Litchfield NP, NT","00:00",19,5,1999,5.3,"Borrowed from AM",0.321644228581247,,,
555,"mimetic spider","Araneae","Amyciaea sp1","",-13.15,130.766666666667,1000,,"Litchfield NP, NT","00:00",19,5,1999,4,"Borrowed from AM",-0.314332460368857,,,
556,"mimetic spider","Araneae","Amyciaea sp1","",-13.15,130.766666666667,1000,,"Litchfield NP, NT","00:00",19,5,1999,,"Borrowed from AM",-0.0432374179556222,,,
557,"mimetic spider","Araneae","Amyciaea sp1","",-13.15,130.766666666667,1000,,"Litchfield NP, NT","00:00",19,5,1999,4.1,"Borrowed from AM",-0.225942871725063,,,
558,"mimetic spider","Araneae","Amyciaea sp1","",-13.15,130.766666666667,1000,,"Litchfield NP, NT","00:00",19,5,1999,,"Borrowed from AM",-0.0896449197077985,,,
559,"mimetic spider","Araneae","Amyciaea sp1","",-13.15,130.766666666667,1000,,"Litchfield NP, NT","00:00",19,5,1999,2.5,"Borrowed from AM",-0.665506184013678,,,
426,"mimetic spider","Araneae","Apricia jovialis","(L. Koch, 1879)",-33.7136111111111,149.971436111111,10,1056.721519,"Duckmaloi, NSW","11:07",9,2,2017,7.4,"Collected",-1.02688723771783,-1.20123225690887,0.293017625808716,0
605,"mimetic spider","Araneae","Apricia jovialis","(L. Koch, 1879)",-33.7694555555556,151.113347222222,100,,"MQ campus, Sydney, NSW","00:00",2,5,2017,5,"Collected",-1.09869983168348,-0.844924489373741,0.349502384662628,0
270,"non-mimic","Araneae","Araneae10 sp1","",-33.77091944,151.1141361,10,75.6,"MQ campus","15:45",19,10,2016,10,"Collected",-0.134057091426957,,0,
250,"non-mimic","Araneae","Araneae11 sp1","",-33.77119722,151.1134806,10,55.7,"MQ campus","14:21",19,10,2016,3.2,"Collected",-0.471491649057521,,0,
560,"non-mimic","Araneae","Astia hariola","(Koch, 1879)",-33.0679166666667,151.382705555556,5,319.3192182,"OlneySF, NSW","12:19",14,4,2017,5.1,"Collected",-1.12128245782412,,0,
