"type","scientificName","scientificNameAuthorship","order","mimicryReference","mimicryNotes","dorsalAccuracyMorphometric","lateralAccuracyMorphometric","dorsalAccuracyMachineLearning","lateralAccuracyMachineLearning","bodylength"
"mimetic insect","Alydid2 sp1","","Hemiptera","McIver and Stonedahl, 1993","Pers. obs. Only the wingless juveniles are ant-like",-0.90617729775567,-0.220491067519378,0,0.675778418779373,11.4
"mimetic insect","Alydid3 sp1","","Hemiptera","McIver and Stonedahl, 1993","Pers. obs. Only the wingless juveniles are ant-like",-0.0689634101757588,0.29902678579131,0.813424348831177,0.83975937962532,13.6
"mimetic spider","Amyciaea albomaculata","(O.P.-Cambridge, 1874)","Araneae","(Pek·r, 2014)",,-0.0300717549216615,0.0613664393426731,0.41702002286911,0.610122390091419,4.8
"mimetic spider","Amyciaea sp1","","Araneae","(Pek·r, 2014)",,0.0142313272424644,,,,3.975
"mimetic spider","Apricia jovialis","(L. Koch, 1879)","Araneae","Pers. obs.","Possibly part of the golden mimicry complex (Pek·r et al., 2017)",-1.049415356594,-1.10070082741069,0.321260005235672,0,6.2
"non-mimic","Araneae10 sp1","","Araneae",,,-0.17471724785841,,0,,7.8
"non-mimic","Araneae11 sp1","","Araneae",,,-0.574307670677401,,0,,3.2
"non-mimic","Astia hariola","(Koch, 1879)","Araneae",,,-1.15578749742969,-1.19582497622321,0,0,5.92
"model","Camponotus nigriceps","(Smith, 1858)","Hymenoptera",,,2.54742173289765,1.63030864448379,0.943565964698792,0.823664128780365,12.7666666666667
"model","Camponotus sp1","","Hymenoptera",,,1.09936839855777,,0.968006610870361,,7.6
"model","Camponotus sp2","","Hymenoptera",,,,1.76092746719288,,0,6.6
"non-mimic","Cicadellid1 sp1","","Hemiptera",,,-0.854406314096506,,0,,2.75
"non-mimic","Cicadellid2 sp1","","Hemiptera",,,-0.777124403621696,-0.751852267911108,0.319348484277725,0.582386881113052,1.8
"mimetic insect","Coleoptera2 sp1","","Coleoptera","Pers. obs.",,-0.086348566013612,-0.366004129182459,0.833480916917324,0.585574947297573,5.94
"mimetic insect","Coleoptera3 sp1","","Coleoptera","Pers. obs.",,-0.231836712204659,-0.0992380156346195,0,0.694048643112183,11
"mimetic insect","Colobathristid1 sp1","","Hemiptera","Pers. obs.","Presumed good mimic of Oecophylla smaragdina",-0.54748069599442,-0.801051830419662,0.678727924823761,0.743743300437927,7
"mimetic spider","Corinnid1 sp1","","Araneae","Raven, 2015",,-0.485577160472696,-0.653475005655114,0.482625335454941,0.612541854381561,3.95
"non-mimic","Cosmophasis baehrae","(Zabka & Waldock, 2012)","Araneae",,,-1.03254380689502,-1.27913178009739,0,0.174274355173111,4.575
"mimetic spider","Cosmophasis bitaeniata","(Keyserling, 1882)","Araneae","Elgar and Allan, 2004","Considered a chemical mimic. Pers. obs. suggests a visual component, which is supported by morphometric analysis",-0.444107457639599,-0.739143519151276,0.0562343955039978,0.454384005069733,6.35833333333333
"non-mimic","Cosmophasis micarioides","(L. Koch, 1880)","Araneae",,,-0.994129227460825,-0.93787389367151,0,0,5.2
"non-mimic","Cosmophasis thalassina","(C.L. Koch, 1846)","Araneae",,,-1.02937188911018,-1.34329689244166,0.0377386425222669,0.110223220927375,3.98947368421053
"model","Crematogaster sp1","","Hymenoptera",,,1.17174790530654,1.32938633494571,0.812107609377967,0.718425363302231,3.25775862068966
"mimetic insect","Daerlac apicalis","(Distant, 1904)","Hemiptera","Cassis and Symonds, 2012",,-0.278412942687338,-0.461459177386033,0.704215091466904,0.775966161489487,6.28888888888889
"mimetic insect","Daerlac nigricans","(Distant, 1918)","Hemiptera","Cassis and Symonds, 2012",,-0.279300571798803,-0.484324228799254,0.852079262336095,0.784001260995865,7.40833333333333
"mimetic spider","Damoetas nitidus","(L. Koch, 1880)","Araneae","Davies and Zabka, 1989",,-0.53775558439485,-0.714816110927934,0,0.289709687232971,3.2
"mimetic spider","Damoetas sp1","","Araneae","Davies and Zabka, 1989",,-0.630150952722934,,0,,3.5
"mimetic spider","Damoetas sp2","","Araneae","Davies and Zabka, 1989",,-0.318065055415308,-0.615635326034342,0.324999213218689,0.712705880403519,3.2
"mimetic spider","Damoetas sp3","","Araneae","Davies and Zabka, 1989",,-0.0109052496697296,,,,3.6
"mimetic insect","Diptera1 sp1","","Diptera","Pers. obs.","Possibly part of the golden mimicry complex (Pek·r et al., 2017)",-0.605671398880632,,0.695810556411743,,12.6
"non-mimic","Diptera3 sp1","","Diptera",,,,-0.678920499884125,,,2.5
"model","Dolichoderus clarki","(Wheeler, 1935)","Hymenoptera",,,0.417581823859593,1.52665433171809,0.953652501106262,0.837931469082832,7.28333333333333
"mimetic spider","Eilica sp1","","Araneae","Pekar et al., 2017a",,-0.894239257902854,-1.01667063888772,0.0615765154361725,0.33839613199234,4.15454545454545
"non-mimic","Eurybrachyid1 sp1","","Hemiptera",,,-1.29090680287376,,0,,8.4
"mimetic insect","Eurymela rubrolimbata","(Kirkaldy, 1906)","Hemiptera","Pek·r et al., 2017a","Only juveniles are mimetic",-0.577425151650788,-0.337291848160801,0.169629454612732,0.343251377344131,4.4
"non-mimic","Eurymela rubrolimbata","(Kirkaldy, 1906)","Hemiptera",,,-1.204949832697,-0.246996605340673,0,0,10.0666666666667
"model","Formicid1 sp1","","Hymenoptera",,,1.48762119283736,1.19593366077255,0.915713245670001,0.973539799451828,4.5125
"model","Formicid10 sp1","","Hymenoptera",,,3.03876330869748,2.21403752950311,0.976650238037109,0.974055796861649,5
"model","Formicid13 sp1","","Hymenoptera",,,0.309274521242188,1.10698843583845,0.868603408336639,0,5.6
"model","Formicid19 sp1","","Hymenoptera",,,1.95826899426526,1.11219200277778,0.876501262187958,0.969902634620667,8.8
"model","Formicid20 sp1","","Hymenoptera",,,2.63140640884117,,0,,2.3
"model","Formicid7 sp1","","Hymenoptera",,,0.172109870612896,,0.954025089740753,,8.1
"model","Froggattella sp1","","Hymenoptera",,,2.46973577347981,1.56460349508507,0.977318167686462,0.976360201835632,3.61560283687943
"non-mimic","Gryllid1 sp1","","Orthoptera",,,,-0.793497159346744,,,3
"non-mimic","Helpis minitabunda","(L. Koch, 1880)","Araneae",,,-0.416128980274084,,0,,8.2
"mimetic insect","Hemiptera1 sp1","","Hemiptera","Pers. obs.","Possibly a juvenile Miridae",0.237573481716151,-0.23600883425752,0.903329908847809,0.910459578037262,3.2
"mimetic insect","Heteroptera2 sp1","","Hemiptera","Pers. obs.",,-0.738463282043052,-0.188847248272912,0.294381268322468,0.381590582430363,3.05
"non-mimic","Holoplatys sp2","","Araneae",,,-0.507215880219765,-0.755902256752712,0,0,5
"non-mimic","Insecta1 sp1","","",,,,-0.309355014122188,,0,1.7
"mimetic spider","Iridonyssus formicans","(Raven, 2015)","Araneae","Raven, 2015",,-0.592822239752903,,,,3.57142857142857
"mimetic spider","Iridonyssus kohouti","(Raven, 2015)","Araneae","Raven, 2015",,-0.195710886506129,-0.782384821646292,0,0.684089481830597,3.45
"non-mimic","Isopoda1 sp1","","Isopoda",,,,-0.86077215524186,,0,6.79166666666667
"mimetic spider","Judalana lutea","(Rix, 1999)","Araneae","Ceccarelli, 2010",,-0.381474460378038,-0.802905537594337,0.515642143785954,0.386179558932781,3.66666666666667
"non-mimic","Lamponid2 sp1","","Araneae",,,-0.644584746653286,-0.814877913201391,0.311898469924927,0.384838044643402,8.5
"model","Leptomyrmex sp1","","Hymenoptera",,,0.662881860977379,1.02186652216881,0.825542986392975,0.798819720745087,11.7
"mimetic spider","Ligonipes sp1","(Karsch, 1878)","Araneae","Davies and Zabka, 1989",,-0.046489384547606,-0.548646026624814,0.587631225585938,0.881122469902039,3.5
"mimetic spider","Ligonipes sp2","","Araneae","Davies and Zabka, 1989",,0.220165586250497,,,,4.6
"mimetic spider","Ligonipes sp3","","Araneae","Davies and Zabka, 1989",,0.207413874327814,-0.379393947257201,0.829177618026733,0.940930873155594,4.18
"non-mimic","Lycosid3 sp1","","Araneae",,,-1.12208137595196,,0,,5.86060606060606
"non-mimic","Lycosid4 sp1","","Araneae",,,-0.824980459811041,,0,,3.05
"mimetic insect","Mantid1 sp1","","Mantodea","McIver and Stonedahl, 1993","Pers. obs. Only the wingless juveniles are ant-like",0.536795954378194,0.881024415712764,0.919157803058624,0.752267241477966,8.1
"mimetic insect","Mantid2 sp1","","Mantodea","McIver and Stonedahl, 1993","Pers. obs. Only the wingless juveniles are ant-like",0.10830842454414,0.211704077666944,0.715748727321625,0.873628079891205,14
"mimetic spider","Myrmarachne bicolor","(L. Koch, 1879)","Araneae","Pekar et al., 2017b",,0.172078075355484,-0.743490469075238,0.658747643232346,0.910090357065201,5.8
"mimetic spider","Myrmarachne erythrocephala","(Koch, 1879)","Araneae","Pekar et al., 2017b",,0.151108865549544,-0.460079917506866,0.829818369486393,0.913726702332497,4.632
"mimetic spider","Myrmarachne juvenile","","Araneae","Pekar et al., 2017b",,-0.207975580751053,-0.4767133371658,0.567734355727831,0.822826708356539,2.95217391304348
"mimetic spider","Myrmarachne luctuosa","(L. Koch, 1879)","Araneae","Pekar et al., 2017b",,-0.1109976009203,-0.507146889693718,0.656464267770449,0.85893559952577,5.39761904761905
"mimetic spider","Myrmarachne macleayana","(Bradley, 1876)","Araneae","Pekar et al., 2017b",,-0.0814243577448796,-0.39466396212626,0.857973376909892,0.892549862464269,4.3125
"model","Myrmecia mandibularis","(Smith, 1858)","Hymenoptera",,,1.69400007922638,,0.958674311637878,,9.85
